age,fnlwgt,education,education.num,marital.status,occupation,capital.gain,capital.loss,hours.per.week,is_US,is_White,is_Male,income
51,152810,8,9,5,13,0,0,40,1,1,1,1
49,99179,12,13,0,13,0,0,40,1,1,0,0
23,35633,9,10,0,11,0,0,40,1,1,1,0
26,33610,8,9,0,5,0,0,40,1,1,1,0
57,101338,12,13,5,12,0,0,20,1,1,1,0
28,378460,12,13,0,3,10520,0,60,1,1,1,1
46,91608,12,13,5,3,0,0,40,1,1,1,1
51,74160,13,14,3,13,0,0,60,1,1,1,1
32,158438,9,10,5,12,0,0,60,1,1,1,1
30,32008,12,13,0,9,0,0,72,1,1,0,0
34,346122,8,9,0,9,0,0,40,1,1,1,0
46,164379,12,13,3,11,0,0,35,1,0,0,1
49,179869,8,9,5,10,0,0,40,1,1,1,1
29,137618,9,10,0,0,0,0,41,1,1,0,1
40,209547,12,13,5,11,0,1977,60,1,1,1,1
46,171095,11,12,3,11,0,0,38,1,1,0,0
32,218407,9,10,0,12,0,0,70,0,1,1,0
41,73431,12,13,4,13,0,0,40,1,1,0,0
46,295566,15,16,3,13,25236,0,65,1,1,0,1
40,78036,10,11,5,13,0,0,65,1,1,0,1
21,346341,9,10,0,13,0,0,40,1,1,0,0
32,107843,8,9,5,2,5178,0,50,1,1,1,1
21,305874,9,10,5,0,0,0,40,1,1,1,0
30,149118,8,9,3,10,0,0,40,1,1,0,0
60,103344,8,9,5,10,15024,0,40,1,1,1,1
53,216931,9,10,5,7,4386,0,40,1,1,1,1
21,121023,9,10,0,0,0,0,9,1,1,0,0
24,147147,12,13,0,3,0,0,20,1,0,0,0
70,280639,8,9,4,0,2329,0,20,1,1,0,0
26,177858,12,13,3,12,0,1876,38,1,1,1,0
25,557082,8,9,0,3,0,0,38,1,1,0,0
27,253814,12,13,5,9,0,0,40,1,1,0,1
28,119287,12,13,5,12,15024,0,28,1,1,0,1
23,55465,9,10,0,1,0,0,40,1,1,1,0
50,197322,6,7,5,12,0,0,50,1,1,1,1
29,210464,4,5,5,2,0,0,40,1,1,1,0
31,213179,8,9,5,5,0,0,60,1,1,1,1
47,199058,8,9,5,10,0,0,40,1,1,1,1
24,186452,8,9,0,12,0,0,50,1,1,1,0
48,199058,13,14,5,12,0,0,40,1,1,1,1
53,263925,8,9,5,11,99999,0,40,1,1,1,1
48,167749,8,9,5,3,0,0,40,1,1,0,1
34,264651,8,9,5,2,0,0,40,1,1,1,1
35,212465,8,9,5,10,0,0,40,1,1,1,1
51,122288,9,10,4,2,0,0,36,1,1,0,0
30,270218,12,13,0,3,0,0,40,1,0,0,0
41,47902,12,13,5,3,0,0,50,1,1,1,1
56,115422,8,9,5,4,0,0,40,1,1,1,0
48,200471,12,13,5,12,0,0,40,1,1,1,1
30,200192,9,10,5,0,0,0,45,1,1,0,0
42,183479,10,11,5,11,0,0,40,1,1,1,1
48,348144,9,10,3,5,3325,0,53,1,1,1,0
37,312232,12,13,5,7,5178,0,40,1,1,1,1
18,126021,8,9,0,10,0,0,20,1,1,0,0
47,420986,12,13,5,12,0,0,40,1,1,1,1
58,156649,1,2,4,1,0,0,40,1,0,1,0
40,170866,11,12,5,4,0,0,50,1,1,1,1
54,93605,8,9,5,11,0,1848,40,1,1,1,1
47,150768,12,13,3,1,0,1564,51,1,1,1,1
58,119386,10,11,3,3,0,0,60,1,1,0,0
51,338836,9,10,5,12,0,0,40,1,1,1,1
33,361497,8,9,5,10,0,0,40,1,1,1,0
30,176185,11,12,5,11,0,0,60,0,1,1,0
37,193815,11,12,5,13,0,0,45,1,1,1,1
65,155261,8,9,5,12,0,0,40,1,1,1,1
22,176321,3,4,0,0,0,0,40,0,1,0,0
54,421561,9,10,5,13,0,0,40,1,1,1,1
49,125421,8,9,5,10,0,0,40,1,1,0,1
53,191565,1,2,3,0,0,0,40,0,0,0,0
62,56248,12,13,5,4,0,2415,60,1,1,1,1
33,254221,15,16,0,13,0,0,60,1,1,0,1
21,654141,8,9,0,10,0,0,32,1,0,1,0
44,242619,9,10,5,2,0,0,40,1,1,1,0
64,182979,8,9,5,2,0,0,40,1,1,1,0
35,270572,12,13,3,13,0,0,40,1,1,0,1
21,165475,8,9,5,2,0,0,40,1,1,1,0
54,174102,12,13,5,12,0,0,40,1,1,1,1
55,197399,13,14,5,12,99999,0,55,1,1,1,1
31,149184,12,13,5,7,0,0,97,1,1,1,1
50,128798,12,13,5,9,0,0,40,1,1,1,1
37,112271,6,7,5,10,0,0,40,1,1,1,1
28,271466,8,9,5,12,0,0,45,1,1,1,1
49,337768,13,14,5,12,0,0,50,1,1,1,1
62,134768,8,9,5,5,0,0,40,1,1,1,1
32,144949,8,9,5,7,0,0,40,1,1,1,0
18,112974,6,7,0,13,0,0,3,1,1,1,0
22,130724,9,10,0,11,0,0,25,1,0,1,0
45,166181,8,9,3,0,0,0,40,1,0,0,0
28,201186,8,9,5,11,99999,0,40,1,0,1,1
40,218558,12,13,5,12,0,0,45,1,1,1,1
35,140564,12,13,5,11,0,0,40,1,1,1,1
42,193537,3,4,1,0,0,0,35,0,1,0,0
51,152596,8,9,5,7,0,0,40,1,1,1,0
23,250630,13,14,0,13,0,0,30,1,1,0,0
35,76845,4,5,5,4,0,0,40,1,0,1,0
59,348430,12,13,5,13,0,1902,43,1,1,1,1
47,192755,8,9,5,2,0,0,20,1,1,0,1
39,139906,8,9,3,0,0,0,81,1,1,0,0
26,182308,9,10,5,13,0,0,40,1,1,1,0
51,156802,8,9,5,4,3103,0,60,1,1,1,1
35,145308,9,10,5,0,0,0,40,1,1,1,0
24,427686,1,2,5,1,0,0,40,0,1,1,0
48,164423,8,9,3,2,0,0,40,1,1,0,0
29,211482,12,13,0,13,0,0,50,1,1,1,1
42,101593,12,13,5,12,0,0,60,1,1,1,1
52,174752,8,9,5,11,0,0,60,1,1,1,1
48,148995,12,13,3,11,0,0,60,1,1,1,1
23,203353,12,13,0,13,0,0,45,1,1,0,0
63,795830,1,2,4,0,0,0,30,0,1,0,0
53,276868,13,14,5,3,0,0,40,1,1,1,1
48,30575,10,11,5,10,0,0,70,1,1,1,1
30,191777,8,9,0,7,0,0,40,1,0,0,0
33,117186,12,13,5,12,0,0,45,1,1,1,0
51,95435,8,9,5,11,0,0,60,1,1,1,1
47,102308,14,15,5,13,0,2415,45,1,1,1,1
36,201519,12,13,5,12,0,0,40,1,1,0,1
42,115178,12,13,3,13,0,0,15,1,1,0,0
26,176729,12,13,0,10,0,0,45,1,1,1,1
39,280570,12,13,5,12,3103,0,50,1,1,1,1
49,168337,2,3,5,10,0,0,40,1,1,1,0
19,69770,9,10,0,0,0,0,20,1,1,1,0
45,178319,15,16,5,13,0,0,56,1,1,1,1
62,69867,10,11,5,13,7298,0,50,1,1,1,1
42,277256,15,16,5,13,0,1977,60,1,1,1,1
38,405284,12,13,0,0,0,0,35,1,1,0,0
43,193494,9,10,5,13,0,0,40,1,1,1,0
50,153064,8,9,5,12,5178,0,40,1,1,1,1
60,141253,5,6,3,4,0,0,48,1,1,1,0
40,25005,12,13,5,13,15024,0,99,1,1,1,1
50,219420,15,16,3,11,0,0,64,1,1,1,0
29,178551,8,9,5,10,0,0,40,1,1,1,0
21,186849,8,9,0,1,0,0,40,1,1,1,0
43,159549,9,10,5,11,0,0,50,1,1,1,1
32,210541,12,13,3,11,0,0,30,1,1,0,0
35,278403,14,15,5,13,0,0,80,1,1,1,1
25,182380,8,9,0,10,0,0,40,1,1,1,0
37,397877,12,13,5,3,0,0,40,1,1,1,1
44,98466,5,6,0,4,0,0,35,1,1,1,0
36,28996,9,10,5,11,0,0,45,1,1,1,0
43,214242,9,10,5,10,0,0,40,1,1,1,1
22,181313,10,11,0,0,0,0,30,1,1,0,0
44,162108,12,13,0,13,0,0,45,1,1,0,0
24,182163,6,7,0,3,0,0,40,0,1,0,0
49,423222,13,14,5,11,0,0,50,1,1,1,1
50,199995,12,13,3,7,0,0,40,1,1,1,1
19,232368,9,10,0,0,0,0,35,1,1,0,0
36,118429,8,9,5,12,0,0,50,1,1,1,0
34,153614,8,9,5,11,0,0,45,1,1,1,1
43,459342,8,9,3,3,0,0,40,1,1,0,0
39,282153,9,10,0,3,0,0,20,1,1,0,0
49,298130,3,4,5,2,0,0,40,1,1,1,0
41,286970,12,13,5,3,0,0,40,1,1,1,0
46,106092,8,9,5,12,0,0,45,1,1,1,1
50,176157,13,14,5,12,0,0,50,1,1,1,1
36,251730,9,10,5,7,0,0,60,1,1,1,1
39,372525,13,14,5,12,0,0,60,1,1,1,1
35,82622,8,9,3,12,0,0,50,1,1,1,0
25,176162,12,13,0,7,0,0,40,1,1,1,0
52,208302,8,9,5,11,0,0,36,1,1,1,0
42,116632,15,16,5,13,0,0,45,1,1,1,1
41,168293,13,14,3,12,0,0,45,1,1,0,0
17,175465,5,6,0,0,0,0,14,1,1,0,0
22,236684,10,11,0,0,0,0,36,1,0,0,0
55,349304,12,13,5,12,0,0,40,1,1,1,1
45,34127,12,13,5,13,0,0,50,1,1,1,1
37,76767,14,15,5,13,0,0,39,1,1,0,1
49,219021,9,10,3,12,0,0,48,1,1,1,1
33,220066,15,16,5,13,0,0,48,1,1,0,1
26,157028,13,14,0,13,0,0,55,1,1,1,1
43,35824,13,14,5,13,0,0,40,1,1,0,1
46,272780,9,10,5,13,0,0,24,1,1,1,0
57,173796,8,9,5,5,0,1887,40,1,1,1,1
74,173929,15,16,1,13,0,0,25,1,1,1,1
49,296849,9,10,5,12,0,0,40,1,1,1,1
42,349884,5,6,5,10,0,0,35,1,1,1,0
20,228686,6,7,5,0,0,0,40,1,1,1,0
56,165881,8,9,5,11,0,0,50,1,1,1,1
37,241998,12,13,5,9,0,0,50,1,1,1,1
49,354529,9,10,0,3,0,0,40,1,1,0,0
68,156000,5,6,4,0,0,0,20,1,0,0,0
27,283913,2,3,0,6,0,0,65,0,1,0,0
34,117529,9,10,5,4,0,0,54,0,1,1,0
28,183151,6,7,5,1,7688,0,40,1,1,1,1
31,159187,9,10,5,10,0,0,40,1,1,1,1
58,31732,12,13,5,12,0,0,50,1,1,1,0
23,165474,9,10,0,10,0,0,40,1,1,1,0
50,187830,13,14,3,12,0,0,62,1,1,1,1
35,171327,8,9,5,10,0,0,40,1,1,1,0
18,138557,6,7,0,1,0,0,40,1,1,1,0
53,68985,8,9,5,3,0,0,40,1,1,1,0
52,108914,8,9,5,11,0,0,40,1,1,1,1
36,142573,8,9,5,12,0,0,45,1,1,1,1
43,358199,9,10,5,11,3103,0,40,1,1,1,1
43,174491,8,9,3,9,0,0,40,1,0,0,0
41,188615,9,10,5,10,0,0,40,1,1,1,1
46,249686,14,15,2,13,0,0,50,1,1,1,1
47,123681,13,14,5,13,7688,0,60,1,1,1,1
47,233511,13,14,3,11,27828,0,60,1,1,1,1
42,193494,8,9,5,2,0,0,40,1,1,1,1
47,145886,9,10,3,0,0,0,40,1,1,0,0
61,176839,12,13,5,13,15024,0,50,1,1,1,1
24,38455,9,10,0,10,0,0,40,1,1,1,0
47,298037,10,11,3,13,0,0,44,1,1,0,0
28,194200,8,9,5,12,0,0,70,1,1,1,0
33,94193,8,9,3,3,0,0,40,1,1,0,0
38,299810,8,9,5,1,0,0,40,1,0,1,0
33,267404,8,9,5,10,0,0,40,1,1,0,0
60,114413,11,12,5,11,0,0,30,1,1,1,0
27,333990,10,11,0,12,0,0,40,1,1,0,0
48,207277,13,14,5,12,15024,0,40,1,1,1,1
34,93169,9,10,3,0,0,0,40,1,0,0,0
33,172498,9,10,3,1,0,0,40,1,1,1,0
90,313749,12,13,0,13,0,0,10,1,1,0,0
56,98418,8,9,3,5,0,0,30,1,1,1,0
40,291192,8,9,4,11,0,0,40,1,1,0,0
44,161819,8,9,5,2,0,0,40,1,1,1,1
37,191364,11,12,5,12,0,0,40,0,1,1,1
50,178530,14,15,5,13,0,0,60,1,1,1,1
52,347519,12,13,5,12,0,0,55,1,1,1,1
49,59612,13,14,5,13,0,0,40,1,1,1,1
30,166961,9,10,5,3,0,0,20,1,1,0,1
23,136824,9,10,0,0,0,0,20,1,1,1,0
46,375675,7,8,5,0,0,0,35,1,1,1,1
33,295649,8,9,2,0,0,0,40,0,1,0,0
70,205860,13,14,5,12,0,0,40,1,0,1,0
41,101290,8,9,3,11,0,0,40,1,1,0,0
36,115834,10,11,5,12,7298,0,55,1,1,0,1
26,18827,9,10,0,5,0,0,40,1,1,1,0
64,36960,8,9,5,4,0,0,40,1,1,1,1
27,169815,12,13,0,11,0,0,40,1,1,1,0
46,117313,4,5,2,2,0,0,40,0,1,0,0
49,50748,9,10,3,11,0,0,55,0,1,0,0
59,31359,13,14,5,12,15024,0,80,1,1,1,1
31,128591,4,5,3,5,0,0,40,1,1,1,0
56,199713,4,5,5,10,0,0,40,1,1,1,0
37,67433,8,9,5,3,0,0,40,1,1,0,1
50,231725,8,9,5,1,0,0,40,1,1,1,0
30,44419,9,10,0,9,0,0,40,1,1,0,0
50,343847,8,9,5,7,0,0,38,1,1,1,1
28,250679,8,9,5,10,0,0,40,1,1,1,0
60,238913,12,13,5,11,0,0,46,1,1,1,1
28,221366,9,10,0,10,0,0,40,1,1,1,0
49,125892,13,14,5,12,0,0,50,1,1,1,1
32,136204,13,14,2,12,0,2824,55,1,1,1,1
39,237943,12,13,5,12,99999,0,70,1,1,1,1
51,176751,12,13,5,13,0,1902,40,1,1,1,1
41,153132,14,15,5,12,15024,0,40,1,1,1,1
19,28790,9,10,0,0,0,0,40,1,1,0,0
19,183532,9,10,0,1,0,0,25,1,1,1,0
33,79923,13,14,5,13,0,0,45,1,1,1,1
32,104509,8,9,3,0,0,0,25,1,1,0,0
52,175339,12,13,5,7,0,0,40,1,1,1,1
45,160173,13,14,5,12,7688,0,50,1,1,1,1
42,98061,10,11,5,12,0,0,50,1,1,1,0
47,368561,9,10,5,10,0,0,40,1,1,1,1
60,119832,9,10,5,3,7298,0,40,1,1,1,1
46,54985,8,9,5,2,0,1887,40,1,1,1,1
33,206609,8,9,5,12,0,0,50,1,1,1,0
49,94754,13,14,5,3,0,0,40,1,1,1,1
31,216283,11,12,5,0,0,0,35,1,1,0,1
22,514033,8,9,0,0,0,0,80,1,0,1,0
23,211049,9,10,0,9,4101,0,40,1,1,0,0
21,206681,9,10,0,11,0,0,15,1,1,0,0
46,109227,9,10,3,12,0,0,70,1,1,0,0
59,453067,9,10,5,13,0,0,36,1,1,1,1
48,85341,8,9,5,10,0,0,40,1,1,1,0
62,170984,9,10,5,10,0,0,45,1,1,1,0
27,401508,8,9,0,0,0,0,40,1,0,0,0
67,105252,12,13,4,12,0,2392,40,1,1,1,1
50,356619,8,9,5,13,0,0,48,1,1,1,1
49,332355,8,9,5,12,0,0,40,1,1,1,0
35,38905,9,10,3,3,0,0,50,1,1,0,0
36,219814,4,5,5,10,0,0,35,0,1,1,0
20,436253,9,10,0,0,0,0,35,1,1,1,0
34,213226,12,13,5,13,0,0,40,0,1,1,1
50,50459,8,9,5,12,0,0,42,1,1,1,1
28,175325,8,9,5,7,0,0,40,1,1,1,0
38,185394,12,13,5,13,7688,0,40,1,1,0,1
35,92440,7,8,3,10,0,0,50,1,1,1,1
25,57635,10,11,5,11,0,0,42,1,1,0,1
46,55720,13,14,5,12,0,0,45,1,1,1,1
33,33404,8,9,3,10,0,0,65,1,1,1,1
42,37937,12,13,5,12,0,0,55,1,1,1,1
64,272531,8,9,5,10,0,0,40,1,1,1,1
23,55215,12,13,0,11,0,0,55,1,1,1,0
35,196373,12,13,5,12,0,0,45,1,1,1,1
53,124076,15,16,5,13,99999,0,37,1,1,0,1
48,247895,12,13,5,12,0,0,40,1,0,1,1
19,52372,9,10,0,0,0,0,20,1,1,1,0
64,159715,9,10,5,10,0,0,20,1,1,1,0
40,107306,12,13,5,12,0,0,40,1,1,1,1
33,408813,12,13,0,3,0,0,50,1,1,0,0
41,207578,8,9,5,5,0,0,40,1,1,1,1
46,167159,9,10,5,7,0,0,70,1,1,1,1
28,237466,9,10,5,3,0,0,30,1,1,0,1
47,339863,8,9,5,11,0,0,45,1,1,1,1
41,171546,12,13,5,9,0,0,45,1,1,1,1
29,302422,10,11,0,7,0,1564,56,1,1,1,1
35,331831,12,13,5,11,0,0,40,1,1,1,0
57,185072,9,10,0,3,0,0,40,0,0,0,0
24,32311,9,10,5,0,0,0,40,1,1,0,0
53,187356,9,10,5,10,0,0,66,1,1,1,0
53,216931,3,4,5,5,0,0,38,1,1,1,0
36,343052,8,9,5,3,0,0,40,1,1,0,0
32,118551,8,9,3,0,0,0,80,1,1,0,0
43,26915,10,11,5,12,0,0,45,1,1,1,1
24,29810,9,10,0,13,0,0,40,1,1,0,0
46,55237,9,10,3,2,0,0,40,1,1,1,0
43,245317,8,9,5,5,0,0,50,1,1,1,0
35,52738,9,10,5,2,0,0,46,1,1,1,0
34,153942,10,11,5,11,0,0,40,1,1,1,0
57,548256,7,8,5,3,0,0,40,1,0,1,0
34,399386,10,11,5,10,0,0,53,1,1,1,0
25,77071,12,13,0,13,0,2339,35,1,1,0,0
58,61474,8,9,5,11,0,0,55,1,1,1,1
29,350162,12,13,5,12,0,0,40,1,1,1,1
40,199381,13,14,5,13,15024,0,37,1,1,0,1
37,265038,9,10,5,5,0,0,50,1,1,1,0
19,169853,8,9,0,10,0,0,40,1,1,1,0
52,294991,12,13,5,13,0,0,40,1,1,1,1
49,391585,12,13,5,12,15024,0,40,1,1,1,1
28,174327,8,9,5,2,0,0,50,1,1,1,0
40,202872,11,12,0,3,0,0,45,1,1,0,0
51,254211,12,13,5,10,0,0,20,1,1,1,1
55,270859,12,13,5,13,0,0,40,1,1,1,1
56,99359,8,9,3,3,0,1617,40,1,1,0,0
56,671292,8,9,5,5,0,0,38,1,1,1,1
53,50048,15,16,5,13,7688,0,50,1,1,1,1
49,129640,8,9,0,0,0,0,40,1,1,0,0
29,282944,15,16,5,13,0,0,50,1,1,1,1
53,242859,9,10,2,3,0,0,40,0,1,1,0
43,334991,9,10,2,5,4934,0,51,1,1,1,1
67,233681,11,12,5,12,0,0,35,1,1,1,0
55,182273,9,10,5,11,0,0,40,1,1,1,0
55,105582,13,14,5,11,2228,0,50,1,1,1,0
41,236021,12,13,5,13,15024,0,40,1,1,1,1
43,226902,12,13,5,11,0,0,50,1,1,1,1
52,415037,9,10,3,12,0,0,65,1,1,1,1
43,115323,12,13,5,12,3103,0,40,1,1,1,1
24,145964,12,13,0,12,0,0,40,1,1,1,1
34,434463,12,13,0,2,0,0,39,1,1,0,0
44,100479,11,12,5,13,0,0,48,1,1,1,0
20,197997,8,9,0,10,0,0,40,1,1,1,0
51,171409,9,10,5,5,0,0,40,1,1,1,1
43,163455,8,9,5,10,0,0,40,1,1,1,1
47,198660,12,13,5,13,0,0,40,1,1,1,1
52,114228,8,9,3,10,3325,0,40,1,1,1,0
19,170800,8,9,0,10,0,0,60,1,1,1,0
57,141326,8,9,5,11,0,0,50,1,1,1,1
55,89690,12,13,3,13,0,0,40,1,1,0,1
43,112494,8,9,3,5,0,0,45,1,1,1,0
46,503923,8,9,5,2,4386,0,40,1,0,1,1
42,364832,3,4,3,11,0,0,40,1,1,0,0
36,183739,8,9,5,10,0,2002,40,1,1,0,0
57,249977,10,11,5,13,0,0,40,1,1,1,0
66,192504,13,14,5,11,0,0,40,1,1,1,0
21,349365,9,10,0,3,0,0,15,1,1,0,0
30,226665,12,13,5,12,0,0,42,1,0,1,1
23,117618,12,13,0,13,0,0,24,1,1,1,0
19,162954,7,8,0,0,0,0,20,1,1,0,0
50,175804,8,9,5,11,0,0,48,1,1,1,0
47,109832,8,9,3,12,0,0,60,1,1,1,0
40,99185,11,12,5,7,0,0,40,1,1,1,0
32,194987,8,9,5,3,0,0,40,1,0,0,0
28,339372,9,10,0,11,0,0,40,1,1,1,0
41,84610,12,13,5,12,0,1902,60,1,1,1,1
26,60726,9,10,5,10,0,0,40,1,0,1,0
26,120238,12,13,0,10,3325,0,40,1,1,1,0
46,389843,12,13,5,11,0,0,50,0,1,1,1
34,230246,12,13,5,13,0,0,42,1,1,1,1
24,373718,9,10,0,4,0,0,20,1,1,1,0
40,266803,11,12,3,12,0,0,40,1,1,0,1
51,237735,8,9,5,1,3103,0,40,1,1,1,1
18,111256,8,9,0,3,0,0,20,1,1,0,0
47,125892,9,10,5,10,0,0,75,1,1,1,1
23,193586,9,10,0,3,0,0,25,1,1,0,0
